URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Word Count,Avg Word Length
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,6,2,0.15363636363636363,0.21545454545454548,117.0,351,7.780626780626781
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,27,3,0.17727272727272725,0.40461171481579655,83.83333333333333,1006,5.537773359840954
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,7,0.10845454545454546,0.2798484848484848,33.6875,539,6.74582560296846
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.08029752733142564,0.3566145718688091,88.875,711,7.171589310829817
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,21,5,0.14301696365649855,0.34309063029993264,58.785714285714285,823,6.208991494532199
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,6,2,0.15363636363636363,0.21545454545454548,117.0,351,7.780626780626781
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,27,3,0.17727272727272725,0.40461171481579655,83.83333333333333,1006,5.537773359840954
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,7,0.10845454545454546,0.2798484848484848,33.6875,539,6.74582560296846
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.08029752733142564,0.3566145718688091,88.875,711,7.171589310829817
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,36,8,0.17760060926727594,0.41790172790172786,40.644444444444446,1829,6.52159650082012
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,14,4,0.09568602693602693,0.3524410774410775,89.85714285714286,629,7.104928457869635
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,17,4,0.10287569573283858,0.4595176252319109,107.85714285714286,755,7.513907284768212
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,19,6,0.12644403215831787,0.3867006802721088,70.375,563,7.827708703374778
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,19,12,0.09736842105263156,0.3928229665071771,71.625,573,7.50261780104712
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,39,9,0.09475566100566102,0.3536240842490842,66.05,1321,6.834973504920515
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,17,14,0.03643939393939395,0.36674242424242415,60.625,970,6.795876288659794
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,47,10,0.1294194271911663,0.44624612102872974,50.38709677419355,1562,6.781049935979514
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,16,4,0.11245941558441559,0.3840909090909091,80.2,401,7.503740648379052
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,38,22,0.14315539112050732,0.4891032417195207,65.375,1046,7.078393881453155
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,20,4,0.15974644403215832,0.3570346320346321,86.375,691,7.141823444283647
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,7,2,0.15303030303030304,0.2545454545454546,104.25,417,6.73621103117506
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,9,4,0.12280844155844156,0.32573051948051945,105.75,423,7.264775413711584
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,8,4,0.1036075036075036,0.32981601731601734,101.25,405,7.08641975308642
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,11,2,0.16101398601398603,0.4842971131432669,101.5,406,7.421182266009852
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,14,4,0.15245454545454545,0.42518181818181816,106.5,426,7.274647887323944
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,14,2,0.1943722943722944,0.42652867965367963,116.5,466,6.843347639484978
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,13,5,0.10413223140495868,0.5274104683195592,102.375,819,6.628815628815629
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,24,19,0.04693400861433649,0.4852463110659831,65.76923076923077,855,6.465497076023392
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,23,9,0.0976704989000071,0.38654282875594353,59.125,946,6.460887949260043
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,30,6,0.15196703880914408,0.46474767922136345,41.083333333333336,986,6.31237322515213
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,22,5,0.15515521064301552,0.4381189948263118,121.33333333333333,728,6.8804945054945055
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,32,8,0.195551948051948,0.40714285714285714,44.81818181818182,986,6.891480730223123
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,28,4,0.13619867506231143,0.4267784992784991,59.59090909090909,1311,6.530129672006102
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,13,4,0.12609970674486803,0.44425708699902244,47.30769230769231,615,6.702439024390244
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,29,9,0.13543123543123542,0.4421212121212122,44.421052631578945,1688,6.438388625592417
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,22,13,0.07288909503195218,0.40976230119087265,59.0,1121,6.185548617305977
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,28,9,0.10202819332566168,0.3738140902697865,46.25,1110,6.4135135135135135
Netclan20241054,https://insights.blackcoffer.com/ai-chatbot-using-llm-langchain-llama/,38,13,0.18993197278911564,0.5068058132343846,93.58333333333333,1123,6.497773820124666
Netclan20241055,https://insights.blackcoffer.com/healthcare-ai-chatbot-using-llama-llm-langchain/,36,1,0.14497354497354498,0.30132275132275127,34.916666666666664,1676,5.689737470167064
Netclan20241056,https://insights.blackcoffer.com/ai-bot-audio-to-audio/,8,3,0.0450025464731347,0.43378533231474403,146.0,584,6.174657534246576
Netclan20241057,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,15,7,0.09276859504132233,0.3848484848484849,185.5,742,6.288409703504043
Netclan20241058,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,16,1,0.1776907001044932,0.3015935214211076,40.5,486,5.923868312757202
Netclan20241059,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,10,2,0.13148148148148148,0.3450617283950617,55.55555555555556,500,6.75
Netclan20241060,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,15,1,0.1266233766233766,0.3580898268398269,26.68421052631579,507,5.6962524654832345
Netclan20241061,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,17,5,0.20058292282430212,0.4960180623973728,26.227272727272727,577,5.82842287694974
Netclan20241062,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,30,5,0.12098164828003538,0.37230671658091,34.794117647058826,1183,6.026204564666103
Netclan20241063,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,12,4,0.09723829201101929,0.33468319559228643,131.25,525,6.660952380952381
Netclan20241064,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,14,3,0.12024465433556342,0.3033648170011806,338.0,676,7.071005917159764
Netclan20241065,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,13,5,0.24766666666666662,0.39166666666666666,208.5,417,6.841726618705036
Netclan20241066,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,9,2,0.28095238095238095,0.3647619047619048,55.42857142857143,388,7.126288659793815
Netclan20241067,https://insights.blackcoffer.com/ai-and-nlp-based-solutions-to-automate-data-discovery-for-venture-capital-and-private-equity-principals/,12,5,0.07484646932015354,0.45190195769143127,39.15,783,5.934865900383142
Netclan20241068,https://insights.blackcoffer.com/an-etl-solution-for-an-internet-publishing-firm/,27,9,0.10690549676660786,0.43086860670194005,52.38461538461539,681,5.6020558002936856
Netclan20241069,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/,17,5,0.09046094750320101,0.2661971830985916,34.15,683,5.603221083455344
Netclan20241070,https://insights.blackcoffer.com/equity-waterfalls-model-based-saas-application-for-real-estate-sector/,13,2,0.1644230769230769,0.35288461538461535,45.54545454545455,501,6.530938123752495
Netclan20241071,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,9,5,0.08220720720720721,0.21306306306306305,53.6,536,5.970149253731344
Netclan20241072,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,9,3,0.22954545454545455,0.3041866028708134,89.75,359,6.504178272980502
Netclan20241073,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,18,6,0.25302721088435376,0.44819727891156474,66.88888888888889,602,5.850498338870432
Netclan20241074,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,17,5,0.17239132395382395,0.2990507756132756,35.785714285714285,501,6.203592814371257
Netclan20241075,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,5,7,0.07394957983193277,0.28697478991596637,105.66666666666667,317,7.012618296529968
Netclan20241076,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,7,2,0.22987012987012986,0.25811688311688313,77.66666666666667,233,7.493562231759657
Netclan20241077,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,7,1,0.17894736842105266,0.21052631578947367,133.5,267,7.367041198501872
Netclan20241078,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,8,1,0.15431818181818183,0.2802272727272727,103.66666666666667,311,6.948553054662379
Netclan20241079,https://insights.blackcoffer.com/handgun-detection-using-yolo/,8,3,0.19746031746031747,0.2653968253968254,119.0,238,7.638655462184874
Netclan20241080,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,5,9,0.06213151927437642,0.23344671201814057,51.5,309,7.148867313915858
Netclan20241081,https://insights.blackcoffer.com/car-detection-in-satellite-images/,16,3,0.16498357963875204,0.37073070607553366,45.27272727272727,498,6.186746987951807
Netclan20241082,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,12,4,0.16159420289855073,0.4405797101449275,66.375,531,6.502824858757062
Netclan20241083,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,14,4,0.1376533189033189,0.4609442640692641,48.416666666666664,581,5.967297762478485
Netclan20241084,https://insights.blackcoffer.com/data-transformation/,11,10,0.0423076923076923,0.47820512820512817,48.84615384615385,635,5.82992125984252
Netclan20241085,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,11,2,0.2550595238095238,0.47070105820105823,38.23076923076923,497,6.408450704225352
Netclan20241086,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,11,2,0.14125000000000001,0.39828571428571424,84.0,420,6.873809523809523
Netclan20241087,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,22,2,0.17109848484848483,0.3790530303030303,43.23809523809524,908,6.5
Netclan20241088,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,11,7,0.0854064039408867,0.4910714285714285,62.666666666666664,564,5.74822695035461
Netclan20241089,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,12,3,0.10672392124005027,0.29523809523809524,33.0,462,6.487012987012987
Netclan20241090,https://insights.blackcoffer.com/trading-bot-for-forex/,14,2,0.16847402597402597,0.4438095238095238,329.0,329,6.027355623100304
Netclan20241091,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,16,4,0.16630591630591632,0.3804773929773929,62.77777777777778,565,5.727433628318584
Netclan20241092,https://insights.blackcoffer.com/medical-classification/,13,5,0.14748376623376622,0.24439935064935073,99.4,497,6.2434607645875255
Netclan20241093,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,20,3,0.20959595959595959,0.42669552669552674,146.66666666666666,440,6.465909090909091
Netclan20241094,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,9,5,0.06482846902201742,0.4268125960061443,99.5,398,6.630653266331659
Netclan20241095,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,7,1,0.07694334650856391,0.24874835309617915,56.888888888888886,512,5.96484375
Netclan20241096,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,14,5,0.11225749559082894,0.34722222222222215,151.5,606,6.191419141914191
Netclan20241097,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,13,5,0.07953296703296703,0.37704517704517704,78.57142857142857,550,5.990909090909091
Netclan20241098,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,11,2,0.19318181818181818,0.3318181818181818,107.33333333333333,322,6.580745341614906
Netclan20241099,https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/,9,5,0.1158008658008658,0.3216450216450217,134.66666666666666,404,6.7004950495049505
Netclan20241100,https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/,12,4,0.147985347985348,0.32148962148962146,419.0,419,6.5608591885441525
Netclan20241101,https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/,3,1,0.1111111111111111,0.24074074074074078,357.0,357,6.778711484593837
Netclan20241102,https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/,4,3,0.07884615384615384,0.2826923076923077,360.0,360,5.897222222222222
Netclan20241103,https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/,8,2,0.12625,0.29416666666666663,70.16666666666667,421,6.904988123515439
Netclan20241104,https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/,14,3,0.1209210329899985,0.3434094640991192,34.86666666666667,523,6.575525812619503
Netclan20241105,https://insights.blackcoffer.com/web-data-connector/,9,2,0.06719367588932806,0.27503800547278806,47.27272727272727,520,6.282692307692308
Netclan20241106,https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/,17,5,0.17202797202797201,0.4029137529137529,138.33333333333334,415,5.807228915662651
Netclan20241107,https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/,4,7,-0.09285714285714285,0.4928571428571428,231.5,463,6.045356371490281
Netclan20241108,https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/,30,7,0.15916477702191992,0.3935374149659864,95.75,1149,5.757180156657963
Netclan20241109,https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/,34,11,0.13232467532467537,0.4676603174603175,62.8421052631579,1194,5.711892797319933
Netclan20241110,https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/,6,6,0.11828808446455505,0.318815987933635,91.25,365,6.8931506849315065
Netclan20241111,https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/,9,3,0.11420068027210885,0.25733908948194667,51.6,516,5.8062015503875966
Netclan20241112,https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/,16,4,0.1595238095238095,0.3523809523809524,116.0,348,6.787356321839081
Netclan20241113,https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/,14,4,0.07045598845598845,0.3569220779220779,100.4,502,6.053784860557769
Netclan20241114,https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/,12,2,0.11929012345679013,0.3125,59.5,357,6.831932773109243
Netclan20241115,https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/,20,5,0.11865079365079363,0.3699023199023199,97.33333333333333,584,6.448630136986301
Netclan20241116,https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/,11,7,0.1412972085385878,0.38041871921182263,88.0,352,6.732954545454546
Netclan20241117,https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/,9,4,0.08506493506493507,0.3256132756132756,80.16666666666667,481,5.968814968814969
Netclan20241118,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/,5,5,0.056837606837606844,0.36591880341880334,190.0,380,6.755263157894737
Netclan20241119,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/,8,8,0.10952380952380951,0.4428571428571429,81.57142857142857,571,6.029772329246935
Netclan20241120,https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/,5,1,0.10714285714285715,0.20238095238095238,82.0,328,6.460365853658536
Netclan20241121,https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/,26,8,0.12861111111111112,0.4298888888888889,46.59090909090909,1025,5.729756097560975
Netclan20241122,https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/,21,3,0.24412177328843995,0.42255892255892247,41.88235294117647,712,5.337078651685394
Netclan20241123,https://insights.blackcoffer.com/metabridges-api-decentraland-integration/,6,4,0.04791666666666667,0.3536458333333333,48.125,385,6.55064935064935
Netclan20241124,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/,9,1,0.16916666666666666,0.3675,113.0,339,6.7492625368731565
Netclan20241125,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/,15,4,0.09645061728395062,0.4540123456790123,53.25,426,6.091549295774648
Netclan20241126,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/,26,9,0.1115505706414797,0.4568299125117306,119.4,597,5.958123953098827
Netclan20241127,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/,13,2,0.15314900153609828,0.35756528417818734,106.5,639,5.931142410015649
Netclan20241128,https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/,16,5,0.2065767565767566,0.4048359048359048,59.375,475,5.991578947368421
Netclan20241129,https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/,34,5,0.23102045803658708,0.41604676685321856,178.75,715,5.66993006993007
Netclan20241130,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/,5,4,0.042010582010582005,0.4566402116402116,159.0,318,6.6069182389937104
Netclan20241131,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/,9,4,0.09329004329004328,0.42967429396000817,142.33333333333334,427,7.112412177985949
Netclan20241132,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/,11,4,0.0675069554101812,0.3186762162568614,48.0,768,6.09765625
Netclan20241133,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/,22,17,0.029732304732304732,0.3415815665815665,40.696969696969695,1343,6.080416976917349
Netclan20241134,https://insights.blackcoffer.com/marketing-sales-and-financial-data-business-dashboard-wink-report/,16,4,0.06779220779220778,0.37477453102453107,47.8125,765,6.750326797385621
Netclan20241135,https://insights.blackcoffer.com/react-native-apps-in-the-development-portfolio/,4,1,0.1571428571428571,0.24285714285714288,165.0,165,9.32121212121212
Netclan20241136,https://insights.blackcoffer.com/a-leading-firm-website-seo-optimization/,4,5,0.04444444444444443,0.35555555555555557,225.0,225,7.697777777777778
Netclan20241137,https://insights.blackcoffer.com/a-leading-hospitality-firm-in-the-usa-website-seo-optimization/,4,6,0.011363636363636354,0.31287878787878787,121.5,243,6.979423868312757
Netclan20241138,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-website-seo-optimization/,3,8,-0.05,0.33958333333333335,242.0,242,7.347107438016529
Netclan20241139,https://insights.blackcoffer.com/a-leading-musical-instrumental-website-seo-optimization/,4,4,0.05179063360881542,0.24738292011019283,202.0,202,7.50990099009901
Netclan20241140,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/,3,4,0.04444444444444443,0.2888888888888889,102.0,204,8.063725490196079
Netclan20241141,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/,17,5,0.11530817667181305,0.4902262510217057,97.875,783,5.706257982120051
Netclan20241142,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/,12,1,0.163510101010101,0.5042929292929292,65.75,263,7.47148288973384
Netclan20241143,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/,12,6,0.08237734487734487,0.5840728715728716,81.5,652,5.783742331288344
Netclan20241144,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/,9,7,0.042280701754385974,0.41070175438596496,70.6,353,6.5127478753541075
Netclan20241145,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/,13,6,0.08073476702508962,0.4418458781362007,53.8,538,6.210037174721189
Netclan20241146,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/,12,4,0.0957070707070707,0.38494949494949493,187.0,561,5.8449197860962565
Netclan20241147,https://insights.blackcoffer.com/real-estate-data-warehouse/,17,3,0.128125,0.43229166666666674,64.42857142857143,451,6.467849223946785
Netclan20241148,https://insights.blackcoffer.com/traction-dashboards-of-marketing-campaigns-and-posts/,11,4,0.1265625,0.45208333333333334,74.16666666666667,445,6.514606741573034
Netclan20241149,https://insights.blackcoffer.com/google-local-service-ads-lsa-data-warehouse/,6,1,0.08095238095238094,0.17639751552795033,175.0,350,6.6571428571428575
Netclan20241150,https://insights.blackcoffer.com/google-local-service-ads-missed-calls-and-messages-automation-tool/,8,3,0.04374999999999999,0.28611111111111115,184.0,368,6.5625
Netclan20241151,https://insights.blackcoffer.com/marketing-ads-leads-call-status-data-tool-to-bigquery/,3,1,0.08333333333333333,0.16111111111111112,107.66666666666667,323,6.78328173374613
Netclan20241152,https://insights.blackcoffer.com/marketing-analytics-to-automate-leads-call-status-and-reporting/,3,1,0.07692307692307693,0.2608974358974359,108.66666666666667,326,6.696319018404908
Netclan20241153,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/,5,2,0.08124999999999999,0.27068452380952374,51.285714285714285,359,6.487465181058496
Netclan20241154,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/,6,2,0.04722222222222222,0.23703703703703707,183.5,367,6.147138964577657
Netclan20241155,https://insights.blackcoffer.com/data-etl-local-service-ads-leads-to-bigquery/,8,3,0.07742857142857142,0.27920634920634924,169.5,339,6.6902654867256635
Netclan20241156,https://insights.blackcoffer.com/marbles-stimulation-using-python/,14,7,0.08064713064713065,0.40337810337810337,44.333333333333336,532,6.112781954887218
Netclan20241157,https://insights.blackcoffer.com/stocktwits-data-structurization/,29,10,0.07420995670995674,0.40468614718614715,57.27777777777778,1031,5.9224054316197865
Netclan20241158,https://insights.blackcoffer.com/sentimental-analysis-on-shareholder-letter-of-companies/,13,12,0.01514152514152514,0.4626473526473525,74.33333333333333,669,6.400597907324364
Netclan20241159,https://insights.blackcoffer.com/population-and-community-survey-of-america/,23,14,0.0767717996289425,0.4316755565862708,98.7,987,6.026342451874367
Netclan20241160,https://insights.blackcoffer.com/google-lsa-api-data-automation-and-dashboarding/,34,19,0.06391997410689,0.2551761945219889,63.69565217391305,1465,5.683276450511945
Netclan20241161,https://insights.blackcoffer.com/healthcare-data-analysis/,17,8,0.060069444444444446,0.33171296296296293,71.71428571428571,502,5.812749003984064
Netclan20241162,https://insights.blackcoffer.com/budget-sales-kpi-dashboard-using-power-bi/,3,0,0.06,0.41,249.0,249,6.7269076305220885
Netclan20241163,https://insights.blackcoffer.com/amazon-buy-bot-an-automation-ai-tool-to-auto-checkouts/,5,1,0.11507936507936507,0.2265873015873016,82.0,246,6.471544715447155
